# 追蹤清單：股號 後綴(.TW上市/.TWO上櫃)
3081 .TWO
4938 .TW
8299 .TWO
3060 .TW
2357 .TW
2353 .TW
2377 .TW
2376 .TW
2382 .TW
3231 .TW
2324 .TW
3017 .TW
3324 .TWO
3037 .TW
2383 .TW
2327 .TW
2492 .TW
6173 .TWO
2428 .TW
2472 .TW
6175 .TWO
2313 .TW
6274 .TWO
3491 .TWO
2314 .TW
6285 .TW
2481 .TW
5425 .TWO
3675 .TWO
8255 .TWO
3317 .TWO
6435 .TWO
8261 .TW
5299 .TWO
6138 .TWO
6719 .TW
3707 .TWO
3016 .TW
5347 .TWO
1536 .TW
2049 .TW
4576 .TW
4583 .TW
4571 .TW
1597 .TW
3019 .TW
3362 .TWO
2374 .TW
5371 .TWO
2464 .TW
2308 .TW
8374 .TW
4585 .TW
6667 .TWO
6230 .TW
3653 .TW
8996 .TW
2421 .TW
6531 .TW
2344 .TW
5289 .TWO
2408 .TW
2337 .TW
3260 .TWO
4967 .TW
2451 .TW
5351 .TWO
0050 .TW
00981A .TW
00631L .TW
00632R .TW
6415 .TW
3588 .TW
2436 .TW
3257 .TW
8046 .TW
3189 .TW
6213 .TW
2368 .TW
3711 .TW
2449 .TW
6239 .TW
3374 .TWO
6271 .TW
2329 .TW
2369 .TW
2441 .TW
6147 .TWO
3264 .TWO
8150 .TW
6525 .TW
